Designator,Footprint,Quantity,Value,LCSC Part #
BEEP1,PIEZOBEEPER,1,PIEZOBEEPERPIEZO,
"C1, C120, C121, C123, C14, C4, C49, C54, C55, C56, C57",C0603,11,1u,
"C10, C20, C28, C3, C36, C37, C50, C51, C52, C53, C59, C60, C62, C74, C75, C76, C77",C025-025X050,17,100n,
"C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C11, C110, C111, C112, C113, C12, C13, C15, C16, C17, C18, C19, C2, C21, C22, C23, C24, C25, C26, C27, C31, C32, C33, C34, C35, C41, C42, C43, C44, C45, C46, C47, C48, C58",C0603,44,0.1u,
C114,C025-024X044,1,1500p,
"C115, C116, C117, C118, C95, C96",E2-5,6,1u,
"C119, C122, C82, C83",E2-5,4,10u,
"C124, C131, C132, C133, C134, C135, C137, C139, C141, C73, C84, C92, C93, C94",C025-024X044,14,100n,
C125,C025-024X044,1,"0.01, 50V",
C126,C025-025X050,1,0.47,
"C127, C128, C63, C7, C8, C85",C0603,6,100n,
C130,E2-4,1,10u,
"C140, C72","E2,5-7",2,47u,
"C148, C149",C025-024X044,2,0.01u,
C150,C050-025X075,1,0.1u,
"C151, C6, C61","E2,5-6",3,47u,
"C29, C30, C39, C40",C0603,4,18p,
C38,"E2,5-6",1,22u,
"C5, C64, C65, C66, C67, C68, C69, C70, C71",C0805,9,22u,
"C78, C79, C80, C81",C025-025X050,4,22000,
"C86, C87, C90, C91","E2,5-6",4,1u,
"C88, C89","E2,5-6",2,4u7,
C9,C0603,1,1.0u Cer,
"C97, C98","E2,5-7",2,100u,
C99,"E2,5-7",1,330u,
CN2,MA156_6-2_KEYED,1,PORT_CASSETTE_EDGE,
CN3,MA156_12-2_IEEE,1,PORT_IEEE_EDGE,
CN5,MA156_12-2_USER,1,PORT_USER_PET_EDGE,
"D1, D14, D19, D2, D20, D21, D22, D23, D24, D25, D26, D3, D4, D7, D9",DO35-7,15,1N4148DO35-7,
"D10, D5, D6, D8",D-5,4,1N4148,
D11,DO201-15,1,1N5400,
D13,C1702-15,1,7.5V,
"D18, D27, D28, D29, D30",DO35-10,5,1N4148DO35-10,
DS1818,TO92,1,DS1813,
"IC1, IC10",SOP32,2,RAMSOCK32TO512KSOP,
"IC11, IC28, IC35, IC9",DIL16,4,74138N,
IC12,DIL16,1,74145N,
"IC13, IC19",SO20W@1,2,74244DW,
IC14,SO14,1,7414D,
"IC15, IC36",DIL40,2,VIA,
IC16,SO24L,1,74LVC8T245SO24,
"IC17, IC20",DIL40,2,PIA,
IC18,SO14,1,7406D,
"IC2, IC4, IC5",SO20W@1,3,74245DW,
IC21,DIL14,1,7417N,
IC22,DIL14,1,7400N,
IC23,DIL14,1,7486N,
IC25,DIL16,1,74139N,
IC26,DIL14,1,LM3900N,
"IC27, IC40",DIL14,2,7474N,
IC29,DIL14,1,556N,
IC3,SO14@1,1,74125D,
"IC31, IC32",DIL16,2,MAX232,
IC33,PLCC44,1,UARTPLCC,
IC34,DIL14,1,7406N,
